AE 771 — Nozzle Coordinates
==========================================

RAO NOZZLE
------------------------------------------
      x (in)        y (in)       -y (in)
   39.436470     15.444462    -15.444462
   40.185212     15.645087    -15.645087
   40.933954     15.845711    -15.845711
   41.682696     16.046336    -16.046336
   42.431437     16.246961    -16.246961
   43.180179     16.447586    -16.447586
   43.928921     16.648210    -16.648210
   44.677663     16.848835    -16.848835
   45.426405     17.049460    -17.049460
   46.175147     17.250085    -17.250085
   46.923889     17.450710    -17.450710
   47.672630     17.651334    -17.651334
   48.421372     17.851959    -17.851959
   49.170114     18.052584    -18.052584
   49.918856     18.253209    -18.253209
   50.667598     18.453833    -18.453833
   51.416340     18.654458    -18.654458
   52.165082     18.855083    -18.855083
   52.913823     19.055708    -19.055708
   53.662565     19.256333    -19.256333
   54.411307     19.456957    -19.456957
   55.160049     19.657582    -19.657582
   55.908791     19.858207    -19.858207
   56.657533     20.058832    -20.058832
   57.406275     20.259456    -20.259456
   58.155016     20.460081    -20.460081
   58.903758     20.660706    -20.660706
   59.652500     20.861331    -20.861331
   60.401242     21.061956    -21.061956
   61.149984     21.262580    -21.262580
   61.898726     21.463205    -21.463205
   62.647468     21.663830    -21.663830
   63.396209     21.864455    -21.864455
   64.144951     22.065079    -22.065079
   64.893693     22.265704    -22.265704
   65.642435     22.466329    -22.466329
   66.391177     22.666954    -22.666954
   67.139919     22.867579    -22.867579
   67.888661     23.068203    -23.068203
   68.637402     23.268828    -23.268828
   69.386144     23.469453    -23.469453
   70.134886     23.670078    -23.670078
   70.883628     23.870702    -23.870702
   71.632370     24.071327    -24.071327
   72.381112     24.271952    -24.271952
   73.129854     24.472577    -24.472577
   73.878595     24.673201    -24.673201
   74.627337     24.873826    -24.873826
   75.376079     25.074451    -25.074451
   76.124821     25.275076    -25.275076
   76.873563     25.475701    -25.475701
   77.622305     25.676325    -25.676325
   78.371047     25.876950    -25.876950
   79.119788     26.077575    -26.077575
   79.868530     26.278200    -26.278200
   80.617272     26.478824    -26.478824
   81.366014     26.679449    -26.679449
   82.114756     26.880074    -26.880074
   82.863498     27.080699    -27.080699
   83.612240     27.281324    -27.281324
   84.360981     27.481948    -27.481948
   85.109723     27.682573    -27.682573
   85.858465     27.883198    -27.883198
   86.607207     28.083823    -28.083823
   87.355949     28.284447    -28.284447
   88.104691     28.485072    -28.485072
   88.853433     28.685697    -28.685697
   89.602174     28.886322    -28.886322
   90.350916     29.086947    -29.086947
   91.099658     29.287571    -29.287571
   91.848400     29.488196    -29.488196
   92.597142     29.688821    -29.688821
   93.345884     29.889446    -29.889446
   94.094626     30.090070    -30.090070
   94.843367     30.290695    -30.290695
   95.592109     30.491320    -30.491320
   96.340851     30.691945    -30.691945
   97.089593     30.892570    -30.892570
   97.838335     31.093194    -31.093194
   98.587077     31.293819    -31.293819
   99.335819     31.494444    -31.494444
  100.084560     31.695069    -31.695069
  100.833302     31.895693    -31.895693
  101.582044     32.096318    -32.096318
  102.330786     32.296943    -32.296943
  103.079528     32.497568    -32.497568
  103.828270     32.698193    -32.698193
